source,word,action
triage-pass-1,sizzles,keep
triage-pass-1,embezzled,keep
triage-pass-1,adze,keep
triage-pass-1,checkbox,keep
triage-pass-1,daze,keep
triage-pass-1,dazzling,keep
triage-pass-1,ditz,keep
triage-pass-1,doze,keep
triage-pass-1,drizzled,keep
triage-pass-1,flax,keep
triage-pass-1,floozy,keep
triage-pass-1,frenzy,keep
triage-pass-1,geez,keep
triage-pass-1,gizzards,keep
triage-pass-1,grizzled,keep
triage-pass-1,guzzling,keep
triage-pass-1,haji,ditch
triage-pass-1,jays,keep
triage-pass-1,jefe,keep
triage-pass-1,jehu,ditch
triage-pass-1,jinxed,keep
triage-pass-1,jiva,ditch
triage-pass-1,jive,keep
triage-pass-1,jowl,keep
triage-pass-1,joys,keep
triage-pass-1,keck,ditch
triage-pass-1,lynx,keep
triage-pass-1,onyx,keep
triage-pass-1,oryx,ditch
triage-pass-1,pickax,keep
triage-pass-1,pizzeria,keep
triage-pass-1,puzzlers,keep
triage-pass-1,qadi,ditch
triage-pass-1,quacks,keep
triage-pass-1,quid,keep
triage-pass-1,quod,ditch
triage-pass-1,qwerty,keep
triage-pass-1,whacky,keep
triage-pass-1,wheeze,keep
triage-pass-1,zeds,keep
triage-pass-1,zigs,keep
triage-pass-1,zing,keep
triage-pass-1,zydeco,ditch
triage-pass-1,bedazzled,keep
triage-pass-1,embezzler,keep
triage-pass-1,paparazzi,keep
triage-pass-1,paparazzo,keep
triage-pass-1,pizzicato,keep
triage-pass-1,zigzagged,keep
triage-pass-1,chintzy,keep
triage-pass-1,hydroxy,ditch
triage-pass-1,jackdaw,keep
triage-pass-1,jaywalk,keep
triage-pass-1,kibbutz,keep
triage-pass-1,mitzvah,keep
triage-pass-1,oxidize,keep
triage-pass-1,showbiz,keep
triage-pass-1,waxwork,keep
triage-pass-1,zephyrs,keep
triage-pass-1,bhaji,ditch
triage-pass-1,calyx,ditch
triage-pass-1,epoxy,keep
triage-pass-1,equiv,ditch
triage-pass-1,fazes,keep
triage-pass-1,fritz,keep
triage-pass-1,froze,keep
triage-pass-1,furze,ditch
triage-pass-1,fuzes,ditch
triage-pass-1,gizmo,keep
triage-pass-1,hazan,ditch
triage-pass-1,hazes,keep
triage-pass-1,hertz,keep
triage-pass-1,hijab,keep
triage-pass-1,huffy,keep
triage-pass-1,joked,keep
triage-pass-1,oxbow,keep
triage-pass-1,phlox,ditch
triage-pass-1,quash,keep
triage-pass-1,quays,keep
triage-pass-1,quoth,keep
triage-pass-1,ritzy,keep
triage-pass-1,squaw,ditch
triage-pass-1,wacky,keep
triage-pass-1,waltz,keep
triage-pass-1,warez,ditch
triage-pass-1,wazoo,keep
triage-pass-1,whack,keep
triage-pass-1,whiff,keep
triage-pass-1,xylem,keep
triage-pass-1,yucky,keep
triage-pass-1,zesty,keep
triage-pass-1,zloty,ditch
triage-pass-1,chutzpah,keep
triage-pass-1,drizzles,keep
triage-pass-1,grizzles,ditch
triage-pass-1,guzzlers,keep
triage-pass-1,jacquard,keep
triage-pass-1,kamikaze,keep
triage-pass-1,nuzzling,keep
triage-pass-1,sizzling,keep
triage-pass-1,skipjack,keep
